,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
140,Sep 2021,17.0,11.0,9.0,1.0,10.0,mc077,33.0
141,Okt 2021,17.0,12.0,13.0,2.0,16.0,mc077,29.0
142,Nov 2021,18.0,14.0,14.0,4.0,19.0,mc077,25.0
143,Dez 2021,19.0,16.0,16.0,3.0,21.0,mc077,25.0
144,Jan 2022,14.0,11.0,12.0,2.0,15.0,mc077,40.0
145,Feb 2022,10.0,8.0,10.0,2.0,11.0,mc077,54.0
146,Mär 2022,22.0,17.0,11.0,2.0,12.0,mc077,59.0
147,Apr 2022,12.0,8.0,6.0,2.0,7.0,mc077,69.0
148,Mai 2022,13.0,8.0,6.0,2.0,7.0,mc077,64.0
149,Jun 2022,13.0,9.0,8.0,2.0,9.0,mc077,63.0
150,Jul 2022,11.0,6.0,8.0,2.0,9.0,mc077,60.0
151,Aug 2022,15.0,9.0,10.0,2.0,11.0,mc077,55.0
152,Sep 2022,13.0,8.0,10.0,2.0,12.0,mc077,35.0
153,Okt 2022,19.0,12.0,13.0,4.0,18.0,mc077,20.0
154,Nov 2022,22.0,17.0,14.0,3.0,18.0,mc077,17.0
